version,description,num_params,training_time,best_epoch,auc,f1,precision,recall
0,"Baseline MLP (no graph, no temporal)",14530,0.8016574382781982,2,0.9999970028428036,0.9954441913439636,0.9909297052154195,1.0
1,+ Graph Convolution,31042,1.529550552368164,28,0.9990678841119198,0.9965556831228473,1.0,0.9931350114416476
2,+ Temporal Encoding,31298,1.9823920726776123,38,0.9999865127926163,0.9886877828054299,0.9776286353467561,1.0
3,+ Temporal Memory (GRU),130370,1.673360824584961,23,0.9980548449795369,0.36523192645215213,0.22341513292433537,1.0
4,+ Multi-Path Reasoning,147396,3.6766929626464844,81,0.9999820170568217,0.9898074745186863,0.9798206278026906,1.0
5,+ Anomaly Attention (Full HMSTA),214212,2.30264949798584,28,0.9999955042642054,0.7633187772925765,0.617231638418079,1.0
