version,description,num_params,training_time,best_epoch,auc,f1,precision,recall
0,"Baseline MLP (no graph, no temporal)",9794,0.7120883464813232,4,0.962962962962963,0.8888888888888888,0.8888888888888888,0.8888888888888888
1,+ Graph Convolution,26306,0.5695524215698242,0,1.0,1.0,1.0,1.0
2,+ Temporal Encoding,26562,0.7149291038513184,1,0.9444444444444444,0.8888888888888888,0.8888888888888888,0.8888888888888888
3,+ Temporal Memory (GRU),125634,0.5952141284942627,0,0.8703703703703705,0.3333333333333333,0.6666666666666666,0.2222222222222222
4,+ Multi-Path Reasoning,142660,0.7504210472106934,4,0.8888888888888888,0.9411764705882353,1.0,0.8888888888888888
5,+ Anomaly Attention (Full HMSTA),209476,1.2788400650024414,21,0.9814814814814815,0.9411764705882353,1.0,0.8888888888888888
